function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
ad_mix,4,3,2,0,75.0
adjust_allocation,3,2,1,0,66.7
adjust_portfolio,4,1,0,0,25.0
adjust_queue,3,1,1,0,33.3
adjust_supply,4,3,2,0,75.0
allocate_bonus_cut,4,2,0,0,50.0
allocate_bounty_cut,3,1,0,0,33.3
allocate_budget_cut,4,3,1,0,75.0
allocate_pool_cut,3,1,0,0,33.3
allocate_prize_cut,4,3,1,0,75.0
api_rate_guard,4,1,0,0,25.0
attention_mask_merge,3,2,2,0,66.7
audit_window_filter,3,1,1,0,33.3
award_payout,4,1,0,0,25.0
backlog_rolling_avg,3,1,1,0,33.3
bandwidth_apportion,4,0,0,0,0.0
bandwidth_budgeter,3,1,1,0,33.3
bandwidth_rebalance,4,1,0,0,25.0
batch_rate,4,1,0,0,25.0
batch_tally,4,0,0,0,0.0
batchnorm_running_mean,4,1,0,0,25.0
bill_payout,3,0,0,0,0.0
billing_gate,4,1,0,0,25.0
blend_levels,3,3,0,0,100.0
blend_margins,4,3,0,0,75.0
blend_orders,4,3,0,0,75.0
blend_supplies,4,1,0,0,25.0
budget_budgeter,4,1,1,0,25.0
budget_mix,3,3,2,0,100.0
bump_click,3,1,0,0,33.3
bump_conversion,4,1,0,0,25.0
bump_job,3,1,1,0,33.3
bump_purchase,4,1,1,0,25.0
bump_refund,3,2,1,0,66.7
cache_entry_ttl,3,1,1,0,33.3
cached_inventory,3,1,1,0,33.3
cached_manifest,3,1,1,0,33.3
cached_metric,3,1,1,0,33.3
cached_preference,4,1,1,0,25.0
cached_route,4,1,1,0,25.0
cacheline_expiry,3,1,1,0,33.3
cacheline_refresh,4,1,1,0,25.0
calendar_slot_insert,4,1,1,0,25.0
calibrate_latency,3,2,1,0,66.7
calibrate_lift,4,2,0,0,50.0
calibrate_loss,4,2,0,0,50.0
calibrate_pressure,3,2,0,0,66.7
calibrate_quality,3,2,0,0,66.7
calibrate_score,3,2,0,0,66.7
calibrate_trend,3,1,1,0,33.3
catalog_cache,4,1,0,0,25.0
checkout_rate,3,2,1,0,66.7
cluster_rebalance_weights,3,3,2,0,100.0
combine_depths,3,1,0,0,33.3
combine_offsets,4,2,0,0,50.0
combine_requests,4,3,0,0,75.0
combine_responses,4,2,0,0,50.0
combine_scores,3,2,0,0,66.7
confidence_trendline,3,2,0,0,66.7
config_expiry,4,2,1,0,50.0
config_interpolate,3,2,0,0,66.7
cost_trendline,3,2,0,0,66.7
coupons_apportion,3,1,1,0,33.3
coverage_interp,4,2,1,0,50.0
cpu_allocator,4,1,1,0,25.0
credit_share,3,2,1,0,66.7
credits_allocator,3,1,1,0,33.3
dataloader_shard_merge,3,1,0,0,33.3
demand_curve,3,2,1,0,66.7
demand_forecast_curve,3,2,0,0,66.7
demands_union,4,1,0,0,25.0
divide_coupon,4,1,0,0,25.0
divide_refund,4,3,1,0,75.0
donation_share,3,3,1,0,100.0
download_rate,4,1,0,0,25.0
downtime_booking,3,1,1,0,33.3
draft_cache,3,2,1,0,66.7
email_send_quota,4,1,1,0,25.0
embedding_lookup_cache,3,3,3,0,100.0
energy_window_avg,3,1,1,0,33.3
error_meter,3,2,2,0,66.7
estimate_reliability,3,2,2,0,66.7
estimate_supply,3,2,0,0,66.7
estimate_temperature,4,1,0,0,25.0
event_gate,3,1,1,0,33.3
feature_cache,4,1,0,0,25.0
feature_flag_rollout,3,1,1,0,33.3
fee_splitter,4,1,0,0,25.0
file_chunk_stitch,3,2,0,0,66.7
fuel_moving_mean,3,1,1,0,33.3
gain_trendline,3,2,0,0,66.7
gpu_memory_pool,3,0,0,0,0.0
grades_union,4,1,0,0,25.0
gradient_clip_budget,3,1,1,0,33.3
grant_share,4,2,0,0,50.0
growth_trendline,3,2,0,0,66.7
guard_email,4,2,0,0,50.0
guard_search,3,1,1,0,33.3
guard_write,4,2,1,0,50.0
heartbeat_throttle,4,1,1,0,25.0
histogram_bucket_merge,4,4,0,0,100.0
ids_merge,4,2,0,0,50.0
inspection_booking,3,2,1,0,66.7
invoice_merge_stream,3,2,0,0,66.7
invoice_meter,4,0,0,0,0.0
job_queue_priority,4,1,0,0,25.0
kv_snapshot_reader,3,2,1,0,66.7
latencies_merge,4,2,0,0,50.0
latency_rolling_avg,3,1,1,0,33.3
ledger_balance_rollup,4,1,0,0,25.0
limit_api,3,2,2,0,66.7
limit_job,4,1,0,0,25.0
limit_message,3,1,0,0,33.3
limit_ping,4,2,2,0,50.0
limit_query,4,1,1,0,25.0
limit_sensor,4,2,2,0,50.0
load_mix,3,1,0,0,33.3
load_rolling_avg,3,1,1,0,33.3
log_sampling_decider,3,1,1,0,33.3
login_tally,3,1,1,0,33.3
login_throttle,4,1,0,0,25.0
lr_warmup_schedule,3,1,1,0,33.3
lru_evictor,3,2,0,0,66.7
machine_booking,3,1,1,0,33.3
maintenance_booking,4,0,0,0,0.0
memory_moving_mean,3,1,1,0,33.3
message_counter,4,2,1,0,50.0
metric_rolling_avg,4,1,1,0,25.0
model_confidence_clamp,3,2,0,0,66.7
notification_gate,4,1,1,0,25.0
offer_expiry,3,1,1,0,33.3
optimizer_step_guard,3,2,1,0,66.7
packets_window_avg,3,0,0,0,0.0
pages_union,4,2,0,0,50.0
payment_payout,4,3,1,0,75.0
payment_split_rebate,3,1,0,0,33.3
percentile_estimator,3,1,0,0,33.3
plan_appointment_slot,4,1,1,0,25.0
plan_conference_slot,4,2,2,0,50.0
plan_delivery_slot,4,2,2,0,50.0
plan_desk_slot,4,2,1,0,50.0
plan_jobs_share,3,0,0,0,0.0
plan_memo,4,2,0,0,50.0
plan_points_share,4,4,4,0,100.0
plan_seats_share,3,0,0,0,0.0
plan_tickets_share,3,2,2,0,66.7
plan_upgrade_slot,4,0,0,0,0.0
prediction_cache,4,1,1,0,25.0
price_cache,4,1,0,0,25.0
prices_stream,4,2,0,0,50.0
priority_mix,4,0,0,0,0.0
probability_curve,3,1,0,0,33.3
probability_rebalance,3,1,0,0,33.3
profile_expiry,3,2,2,0,66.7
queue_window_avg,3,2,2,0,66.7
quota_allocator_service,4,1,1,0,25.0
quota_for_capacity,3,0,0,0,0.0
quota_for_fuel,4,0,0,0,0.0
quota_for_inventory,4,0,0,0,0.0
quota_for_memory,4,0,0,0,0.0
quota_for_storage,4,1,1,0,25.0
quote_memo,4,3,3,0,75.0
rating_curve,4,2,0,0,50.0
read_throttle,4,2,0,0,50.0
realign_cache,3,3,2,0,100.0
realign_power,3,2,1,0,66.7
realign_replica,3,2,0,0,66.7
rebate_splitter,4,3,1,0,75.0
redis_like_expiry,4,2,2,0,50.0
rent_splitter,4,3,1,0,75.0
replica_sync_offsets,3,1,0,0,33.3
request_token_bucket,4,1,0,0,25.0
reservation_booking,4,2,2,0,50.0
reservation_overlap_check,4,1,1,0,25.0
reserve_band,4,2,2,0,50.0
reserve_lane,4,2,2,0,50.0
reserve_slot,4,1,1,0,25.0
retry_backoff_window,4,2,0,0,50.0
retry_tally,3,1,0,0,33.3
revenue_share,4,2,0,0,50.0
rolling_errors,3,1,1,0,33.3
rolling_requests,3,1,0,0,33.3
rolling_retries,3,1,1,0,33.3
rolling_usage,4,0,0,0,0.0
room_reservation,4,2,2,0,50.0
royalty_payout,3,1,1,0,33.3
sales_window_avg,3,1,1,0,33.3
schedule_call,4,3,2,0,75.0
schedule_car,4,1,0,0,25.0
schedule_demo,4,2,2,0,50.0
schedule_pickup,4,1,0,0,25.0
schedule_shift_allocator,4,1,0,0,25.0
schedule_training,4,1,1,0,25.0
schedule_window,3,1,0,0,33.3
scores_apportion,3,2,2,0,66.7
search_result_pager,3,2,1,0,66.7
sensor_window_avg,4,2,1,0,50.0
session_memo,3,2,2,0,66.7
shard_assignment,3,0,0,0,0.0
shares_apportion,3,1,0,0,33.3
shift_demand,4,2,1,0,50.0
shift_feature,4,1,0,0,25.0
shift_risk,4,1,0,0,25.0
shift_traffic,4,2,0,0,50.0
shift_trust,4,3,2,0,75.0
shift_weight,4,3,2,0,75.0
signals_stream,3,2,0,0,66.7
slots_apportion,4,1,1,0,25.0
smooth_clicks,3,0,0,0,0.0
smooth_cpu,3,1,0,0,33.3
smooth_pressure,3,1,0,0,33.3
smooth_throughput,4,2,2,0,50.0
speed_trendline,3,2,0,0,66.7
storage_mix,3,2,2,0,66.7
storage_quota_split,3,1,0,0,33.3
stream_joiner,4,2,0,0,50.0
subsidy_payout,3,2,0,0,66.7
summary_memo,4,2,2,0,50.0
task_tally,3,0,0,0,0.0
