function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
ad_mix,3,3,2,0,100.0
adjust_allocation,4,2,1,0,50.0
adjust_portfolio,4,1,0,0,25.0
adjust_queue,4,2,2,0,50.0
adjust_supply,4,3,2,0,75.0
allocate_bonus_cut,3,2,0,0,66.7
allocate_bounty_cut,4,1,0,0,25.0
allocate_budget_cut,3,3,1,0,100.0
allocate_pool_cut,4,1,0,0,25.0
allocate_prize_cut,4,3,1,0,75.0
api_rate_guard,3,1,0,0,33.3
attention_mask_merge,4,2,2,0,50.0
award_payout,3,0,0,0,0.0
backlog_rolling_avg,3,1,1,0,33.3
bandwidth_apportion,3,0,0,0,0.0
bandwidth_budgeter,4,1,1,0,25.0
bandwidth_rebalance,4,1,0,0,25.0
batch_rate,4,1,0,0,25.0
batch_tally,4,0,0,0,0.0
batchnorm_running_mean,3,1,0,0,33.3
bill_payout,3,0,0,0,0.0
billing_gate,3,1,0,0,33.3
blend_levels,3,3,0,0,100.0
blend_margins,4,3,0,0,75.0
blend_orders,3,3,0,0,100.0
blend_supplies,3,1,0,0,33.3
budget_budgeter,4,1,1,0,25.0
budget_mix,4,3,2,0,75.0
bump_click,4,1,0,0,25.0
bump_conversion,3,1,0,0,33.3
bump_job,4,1,1,0,25.0
bump_purchase,4,1,1,0,25.0
bump_refund,3,2,1,0,66.7
cache_entry_ttl,4,1,1,0,25.0
cached_inventory,3,1,1,0,33.3
cached_manifest,4,1,1,0,25.0
cached_metric,3,1,1,0,33.3
cached_preference,4,1,1,0,25.0
cached_route,3,1,1,0,33.3
cacheline_expiry,4,1,1,0,25.0
cacheline_refresh,3,1,1,0,33.3
calendar_slot_insert,4,1,1,0,25.0
calibrate_latency,3,2,1,0,66.7
calibrate_lift,3,2,0,0,66.7
calibrate_loss,3,2,0,0,66.7
calibrate_pressure,3,2,0,0,66.7
calibrate_quality,3,2,0,0,66.7
calibrate_score,3,2,0,0,66.7
calibrate_trend,3,1,1,0,33.3
catalog_cache,3,1,0,0,33.3
checkout_rate,4,2,1,0,50.0
cluster_rebalance_weights,4,4,2,0,100.0
combine_depths,4,1,0,0,25.0
combine_offsets,4,2,0,0,50.0
combine_requests,4,3,0,0,75.0
combine_responses,4,2,0,0,50.0
combine_scores,4,2,0,0,50.0
confidence_trendline,4,2,0,0,50.0
config_expiry,3,2,1,0,66.7
config_interpolate,4,2,0,0,50.0
cost_trendline,3,2,0,0,66.7
coupons_apportion,3,1,1,0,33.3
coverage_interp,3,2,1,0,66.7
cpu_allocator,3,1,1,0,33.3
credit_share,4,3,1,0,75.0
credits_allocator,4,1,1,0,25.0
dataloader_shard_merge,4,1,0,0,25.0
demand_curve,4,2,1,0,50.0
demand_forecast_curve,4,2,0,0,50.0
demands_union,3,1,0,0,33.3
divide_coupon,3,0,0,0,0.0
divide_refund,3,3,1,0,100.0
donation_share,4,3,1,0,75.0
download_rate,3,1,0,0,33.3
downtime_booking,4,1,1,0,25.0
draft_cache,3,2,1,0,66.7
email_send_quota,4,1,1,0,25.0
embedding_lookup_cache,3,3,3,0,100.0
energy_window_avg,3,1,1,0,33.3
error_meter,3,2,2,0,66.7
estimate_reliability,3,2,2,0,66.7
estimate_supply,3,2,0,0,66.7
estimate_temperature,3,1,0,0,33.3
event_gate,4,1,1,0,25.0
feature_cache,4,1,0,0,25.0
feature_flag_rollout,3,1,1,0,33.3
fee_splitter,3,0,0,0,0.0
file_chunk_stitch,4,2,0,0,50.0
fuel_moving_mean,3,1,1,0,33.3
gain_trendline,3,2,0,0,66.7
gpu_memory_pool,4,0,0,0,0.0
grades_union,4,1,0,0,25.0
gradient_clip_budget,3,1,1,0,33.3
grant_share,3,2,0,0,66.7
growth_trendline,3,2,0,0,66.7
guard_email,3,2,0,0,66.7
guard_search,3,1,1,0,33.3
guard_write,4,2,1,0,50.0
heartbeat_throttle,4,1,1,0,25.0
histogram_bucket_merge,3,3,0,0,100.0
ids_merge,4,2,0,0,50.0
inspection_booking,4,2,1,0,50.0
invoice_merge_stream,3,2,0,0,66.7
invoice_meter,4,0,0,0,0.0
job_queue_priority,4,1,0,0,25.0
kv_snapshot_reader,4,2,1,0,50.0
latencies_merge,4,2,0,0,50.0
latency_rolling_avg,3,1,1,0,33.3
ledger_balance_rollup,4,1,0,0,25.0
limit_api,4,2,2,0,50.0
limit_job,4,1,0,0,25.0
limit_message,4,1,0,0,25.0
limit_ping,3,1,1,0,33.3
limit_query,3,1,1,0,33.3
limit_sensor,3,2,2,0,66.7
load_mix,3,1,0,0,33.3
load_rolling_avg,3,1,1,0,33.3
log_sampling_decider,3,1,1,0,33.3
login_tally,4,1,1,0,25.0
login_throttle,3,1,0,0,33.3
lr_warmup_schedule,3,1,1,0,33.3
lru_evictor,3,2,0,0,66.7
machine_booking,4,1,1,0,25.0
maintenance_booking,4,0,0,0,0.0
memory_moving_mean,3,1,1,0,33.3
message_counter,3,2,1,0,66.7
metric_rolling_avg,3,1,1,0,33.3
model_confidence_clamp,3,2,0,0,66.7
notification_gate,3,1,1,0,33.3
offer_expiry,4,1,1,0,25.0
optimizer_step_guard,4,2,1,0,50.0
packets_window_avg,3,0,0,0,0.0
pages_union,4,2,0,0,50.0
payment_payout,3,3,1,0,100.0
payment_split_rebate,4,2,0,0,50.0
percentile_estimator,4,2,0,0,50.0
plan_appointment_slot,4,1,1,0,25.0
plan_conference_slot,3,1,1,0,33.3
plan_delivery_slot,4,2,2,0,50.0
plan_desk_slot,4,2,1,0,50.0
plan_jobs_share,3,0,0,0,0.0
plan_memo,3,2,0,0,66.7
plan_points_share,3,3,3,0,100.0
plan_seats_share,3,0,0,0,0.0
plan_tickets_share,3,2,2,0,66.7
plan_upgrade_slot,4,0,0,0,0.0
prediction_cache,4,1,1,0,25.0
price_cache,3,1,0,0,33.3
prices_stream,3,1,0,0,33.3
priority_mix,4,0,0,0,0.0
probability_curve,4,1,0,0,25.0
probability_rebalance,3,1,0,0,33.3
profile_expiry,3,2,2,0,66.7
queue_window_avg,3,2,2,0,66.7
quota_allocator_service,3,1,1,0,33.3
quota_for_capacity,3,0,0,0,0.0
quota_for_fuel,3,0,0,0,0.0
quota_for_inventory,4,0,0,0,0.0
quota_for_memory,4,0,0,0,0.0
quota_for_storage,3,1,1,0,33.3
quote_memo,4,3,3,0,75.0
